default,identifier,remarks,ru,pt,de,esm,fr
FlexiHUD settings,JGPHUD_SETTINGS_TITLE,"FlexiHUD is the mod's name, do not localize",Настройки FlexiHUD,Configurações do FlexiHUD,FlexiHUD Einstellungen,Configuración de FlexiHUD,Configuration de FlexiHud
Display FlexiHUD,JGPHUD_GENERAL_ENABLEHUD,A simple On/Off toggle that allows to completely disable the whole HUD,Показывать FlexiHUD,Habilitar o FlexiHUD,FlexiHUD anzeigen,Habilitar FlexiHUD,Affichage de FlexiHUD
Toggle FlexiHUD key,JGPHUD_GENERAL_ENABLEHUD_BIND,An option that lets you specify a custom key that will toggle the HUD on and off,Клавиша вкл/откл FlexiHUD,Alternar a HUD,Schnelltaste für FlexiHUD,Alternar HUD,Alterner touches de FlexiHUD
General,JGPHUD_GENERAL_TITLE,Title for the general options,Общее,Geral,Allgemein,General,Géneral
Classic integer scaling (\cDhud_oldscale\c-),JGPHUD_GENERAL_OLDSCALE,"Experimental, does not need translation",,,,,
Float-point scale factor (\cDhud_scalefactor\c-),JGPHUD_GENERAL_SCALEFACTOR,"Experimental, does not need translation",,,,,
Appearance and scaling options,JGPHUD_GENERAL_APPEARANCE_TITLE,,,,,,
Background,JGPHUD_GENERAL_APPEARANCE_BACKGROUND,,,,,,
Scaling,JGPHUD_GENERAL_APPEARANCE_SCALING,,,,,,
Base FlexiHUD scale,JGPHUD_GENERAL_APPEARANCE_BASESCALE,,,,,,
Use built-in HUD scaling,JGPHUD_GENERAL_APPEARANCE_BASESCALE_DEF,,,,,,
GZDoom HUD scaling options menu,JGPHUD_GENERAL_APPEARANCE_GZDoomScalingOptions,,,,,,
HUD background style,JGPHUD_GENERAL_BACKSTYLE,General appearance of the background: either a flat color or a texture,Стиль фона,Estilo do fundo,Hintergrundstil,Estilo de fondo,Style d'arrière-plan de l’ATH
Flat color,JGPHUD_GENERAL_BACKSTYLE_COLOR,Option for background appearance,Цветовая заливка,Cor sólida,Füllfarbe,Color sólido,Couleur uniforme
Texture,JGPHUD_GENERAL_BACKSTYLE_TEXTURE,Option for background appearance,Текстура,Textura,Textur,Texturizado,Texture
HUD background color,JGPHUD_GENERAL_BACKCOL,General background color,Цвет фона,Cor de fundo,Hintergrundfarbe,Color de fondo,Couleur d’arrière-plan
HUD background opacity,JGPHUD_GENERAL_BACKALPHA,General background opacity,Прозрачность фона,Opacidade,Hintergrunddeckkraft,Opacidad de fondo,Opacité de l’arrière-plan
Texture name,JGPHUD_GENERAL_BACKSTYLE_TEXNAME,"If the background mode is set to ""Texture"", this option will let the player input the name of the texture",Название текстуры,Nome da textura,Texturname,Nombre de la textura,Nom de la texture
"Enter the name of the desired texture here. It has to be
a texture that actually exists in the current game/mod.",JGPHUD_GENERAL_BACKSTYLE_TEXNAME_NOTE,"Keep under 3 lines
Use physical linebreaks (alt-Enter)","Укажите название текстуры. Эта текстура должна
существовать в текущей игре/текущем моде.","Insira o nome da textura aqui. Necessita ser uma
 textura que existe no jogo ou mod.","Trage den Namen der gewünschten Textur ein.
Die Textur muss im derzeitigen Spiel/Mod existieren.","Escribe el nombre de la textura. La textura
debe existir en el juego o mod actual.","Entrer le nom de la texture désirée ici. Cela doit être une
texture qui existe actuellement dans le jeu/mod actuel."
Texture fit mode,JGPHUD_GENERAL_BACKSTYLE_TEXFIT,An option that lets you choose whether the background HUD texture will be tiled or stretched to fit,Режим отрисовки текстуры,Modo de preenchimento da textura,Texturanpassung,Modo de ajuste de la textura,Mode d'ajustement des textures
Tile,JGPHUD_GENERAL_BACKSTYLE_TEXFIT_TILE,"Option for ""Texture fit mode""",Замостить,Repetir,Kacheln,Repetir,Carreau
Stretch,JGPHUD_GENERAL_BACKSTYLE_TEXFIT_STRETCH,"Option for ""Texture fit mode""",Растянуть,Esticar,Strecken,Estirar,Étiré
Size of icons,JGPHUD_GENERAL_ICONSIZE,"This is used for several different options: inventory bar, weapon slots, powerup display",Размер значков,Tamanho dos ícones,Icongrösse,Tamaño de los iconos,Taille des icônes
Reset ALL FlexiHUD settings to default,JGPHUD_GENERAL_RESETALL,Label for a menu command that resets ALL console variables related to FlexiHUD to their default values,Сбросить ВСЕ настройки FlexiHUD,Restaurar TODAS as configurações aos padrões,ALLE FlexiHUD-Einstellungen auf Vorgaben zurücksetzen,Reiniciar todas las configuraciones por defecto,Réinitialiser TOUTES les configurations de FlexiHUD par défault
Scale of the element,JGPHUD_ELEMENT_SCALE,"General string used in multiple submenus that is attached
to a slider that controls the scale of this element.",,,,,
Position anchor point,JGPHUD_ELEMENT_POS,Lets the player choose the anchor point on the screen for the specified HUD element,Точка привязки элемента,Ponto da âncora,Ankerpunkt,Punto de anclaje,Point d’ancrage
Top left,JGPHUD_POS_TOPLEFT,Anchor point for the HUD element on the screen,Верхний левый угол,Canto superior esquerdo,Oben links,Superior izquierda,Haut à gauche
Top center,JGPHUD_POS_TOPCENTER,Anchor point for the HUD element on the screen,Середина верхней границы,Centro superior,Oben mitte,Superior centrado,Haut au centre
Top right,JGPHUD_POS_TOPRIGHT,Anchor point for the HUD element on the screen,Верхний правый угол,Canto superior direito,Oben rechts,Superior derecha,Haut à droite
Left center,JGPHUD_POS_LEFTCENTER,Anchor point for the HUD element on the screen,Середина левой границы,Esquerda do centro,Mitte links,Centro izquierda,Centre à gauche
Center,JGPHUD_POS_CENTER,Anchor point for the HUD element on the screen,Центр экрана,Centro,Mitte,Centrado,Centre
Right center,JGPHUD_POS_RIGHTCENTER,Anchor point for the HUD element on the screen,Середина правой границы,Centro direito,Mitte rechts,Centro derecha,Centre à droite
Bottom left,JGPHUD_POS_BOTTOMLEFT,Anchor point for the HUD element on the screen,Нижний левый угол,Canto inferior esquerdo,Unten links,Inferior izquierda,Bas à gauche
Bottom center,JGPHUD_POS_BOTTOMCENTER,Anchor point for the HUD element on the screen,Середина нижней границы,Centro inferior,Unten mitte,Inferior centrado,Bas au centre
Bottom right,JGPHUD_POS_BOTTOMRIGHT,Anchor point for the HUD element on the screen,Нижний правый угол,Canto inferior direito,Unten rechts,Inferior derecha,Bas à droite
Horizontal offset,JGPHUD_ELEMENT_OFSX,General option (every HUD element can be offset from their anchor point with this),Горизонтальный сдвиг элемента,Deslocamento horizontal,Horizontaler Versatz,Desplazamiento horizontal,Décalage Horizontal
Vertical offset,JGPHUD_ELEMENT_OFSY,General option (every HUD element can be offset from their anchor point with this),Вертикальный сдвиг элемента,Deslocamento vertical,Vertikaler Versatz,Desplazamiento vertical,Décalage Vertical
Numbers' color,JGPHUD_ELEMENT_NUMCOL,"Generic option name. Used in any element that has numbers (e.g. inventory bar, weapon slots). This option lets you adjust the color of those numbers.",Цвет цифр,,,,
Alignment,JGPHUD_ELEMENT_ALIGNMENT,"Generic option name. Used in any element that supports differnet alignment options, mainly horizontal and vertical (for example, weapon slots, powerups, inventory bar).",,,,,
Incoming damage display,JGPHUD_DMGMARKERS_TITLE,Title for the damage display settings,Индикаторы получаемого урона,Marcadores de dano,Ankommender Schaden,Marcador de daño,Affichage des dommages entrants
Classic screen reddening multiplier,JGPHUD_DMGMARKERS_SCREENTINT,"This lets the player change the multiplier for the classic red screen tint when they take damage. If they prefer to only rely on damage markers as a damage indicator, they may choose to reduce this to 0.",Степень покраснения экрана при получении урона,Multiplicador do tinto de dano na tela,Multiplikator für klassische Bildschirmrötung,Enrojecimiento clásico,Multiplicateur de rougissement de l'écran classique
Directional incoming damage markers,JGPHUD_DMGMARKERS_ENABLE,"Directional damage markers are shown on the HUD, pointing to the enemy that just attacked the player",Направленные индикаторы получаемого урона,Marcadores de dano direcionais,Richtungsmarker für ankommenden Schaden,Marcador de daño direccional,Marqueurs directionnels de dégâts entrants
Maximum damage marker opacity,JGPHUD_DMGMARKERS_MAXALPHA,,Прозрачность индикаторов получаемого урона,Opacidade máxima do marcador de dano,Markerdeckkraft für Maximalschaden,Opacidad máxima de marcadores,Opacité maximale du marqueur de dégâts
Damage marker fade-out time (seconds),JGPHUD_DMGMARKERS_FADEOUTTIME,,Время исчезновения индикаторов урона (сек.),Tempo de desvanecimento do marcador de dano (segundos),Ausblendzeit für Schadensmarker (Sekunden),Desvanecimiento de marcadores (segundos),Temps d'évanouissement du marqueur de dommage (secondes)
"Health, armor and mugshot",JGPHUD_MAINBARS_TITLE,,"Здоровье, броня и лицо персонажа","Vida, armadura e rosto do personagem","Gesundheit, Rüstung und Gesicht",Vida y armadura,"Santé, armure et visage"
Health and armor display,JGPHUD_MAINBARS_ENABLE,Whether health/armor is displayed,Отображение здоровья и брони,Exibir barras de vida e armadura,Gesundheit und Rüstung anzeigen,Mostrar vida y armadura,Affichage de santé et d’armure
Mugshot display (if exists),JGPHUD_MAINBARS_SHOWFACE,Whether mugshot is displayed,Показывать лицо персонажа (при наличии),Mostrar rosto do personagem (se existe),Gesicht anzeigen (falls vorhanden),Mostrar cara de jugador (si existe),Affichage du visage (si existant)
Numbers,JGPHUD_MAINBARS_OPT_NUMBERS,Option for how health/armor is displayed: numbers or bars,Цифры,Números,Nummern,Numérico,Nombres
Bars,JGPHUD_MAINBARS_OPT_BARS,Option for how health/armor is displayed: numbers or bars,Шкалы,Barras,Leisten,Barra,Barres
Armor icon/absorption display,JPGHUD_MAINBARS_ARMDISPLAY,"Option that controls what is displayed next to the armor numbers: the armor's icon, its absorption percentage, or both (icon below, percentage on top)",,,,,
Armor icon,JPGHUD_MAINBARS_ARMDISPLAY_ICON,Option for Armor icon/absorption display,,,,,
Armor absorption %,JPGHUD_MAINBARS_ARMDISPLAY_ABSORB,Option for Armor icon/absorption display,,,,,
Armor icon and absorption %,JPGHUD_MAINBARS_ARMDISPLAY_BOTH,Option for Armor icon/absorption display,,,,,
Health and armor color settings,JGPHUD_MAINBARS_NUMCOL_TITLE,"Title for a submenu with health/armor color settings. Located under ""Health and armor display"" menu",,,,,
Armor colors,JGPHUD_MAINBARS_NUMCOL_ARMOR_TITLE,Subtitle for Health and armor color settings menu,,,,,
Health colors,JGPHUD_MAINBARS_NUMCOL_HEALTH_TITLE,Subtitle for Health and armor color settings menu,,,,,
Colorization rules,JGPHUD_MAINBARS_NUMCOL,This option allows adjusting the rules by which the Armor colors and Health colors are colorized. The options for Armor and Health are separate but their names are identical (they're just positioned in different sections).,,,,,
Color reflects armor absorption,JGPHUD_MAINBARS_NUMCOL_ABSORB,Option for Number colorization rules (this one is only for Armor: color reflects the damage absorption of the current armor),,,,,
Color reflects remaining amount,JGPHUD_MAINBARS_NUMCOL_AMOUNT,Option for Number colorization rules: color changes based on the remaining amount of Armor/Health,,,,,
